# post-release run
# driver:    1.0.0.0 qemu, 156784 B, sha256 2024bdd751dbf202
# image:     vm\fresh-2b.img, stamp base-1.0.0.0-qemu, from win2k.img phase2b-clean
# qemu:      11.0.0 (v11.0.0-12122-ga4bb4b10c9), accel tcg
# offsets:   SIZEOF 90924, 383 counters
# started:   2026-08-30 14:51:11, elapsed 1:16:07
# verdict:   2b-fresh PASS, 17 rows, 6 NODRIVER expected, 0 not reached
#
# Outcomes: PASS FAIL NODRIVER INERT ERROR EXCLUDED - see docs/contributing/design/06-device-matrix-verdict.md
# A '-> X' in the outcome column marks the expectation that did not hold.
# A row name ending in '/replug' is the same device attached a second time - design record 09 section 5.
#
TARGET ROW                          OUTCOME   EXPECTATION                                                    READING
2b-fresh usb-net/fs                   NODRIVER  advance slots enabled                                          +1
2b-fresh usb-net/fs                   NODRIVER  zero fatal controller status                                   0
2b-fresh usb-net/fs                   NODRIVER  zero transfer events for no open endpoint                      0
2b-fresh usb-net/fs                   NODRIVER  zero endpoint opens refused - unusable buffer                  0
2b-fresh usb-net/fs                   NODRIVER  zero endpoint opens refused - malformed call                   0
2b-fresh usb-net/fs                   NODRIVER  zero interrupt mask failures                                   0
2b-fresh usb-net/fs                   NODRIVER  zero commands the engine gave up on                            0
2b-fresh usb-net/fs                   NODRIVER  identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 2 == 2
2b-fresh usb-net/fs                   -> NODRIVER advance endpoints opened >= 1                                  +0
2b-fresh usb-net/fs/replug            NODRIVER  advance devices addressed                                      +1
2b-fresh usb-net/fs/replug            NODRIVER  advance slots enabled                                          +1
2b-fresh usb-net/fs/replug            NODRIVER  zero fatal controller status                                   0
2b-fresh usb-net/fs/replug            NODRIVER  zero transfer events for no open endpoint                      0
2b-fresh usb-net/fs/replug            NODRIVER  zero endpoint opens refused - unusable buffer                  0
2b-fresh usb-net/fs/replug            NODRIVER  zero endpoint opens refused - malformed call                   0
2b-fresh usb-net/fs/replug            NODRIVER  zero interrupt mask failures                                   0
2b-fresh usb-net/fs/replug            NODRIVER  zero commands the engine gave up on                            0
2b-fresh usb-net/fs/replug            NODRIVER  identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 2 == 2
2b-fresh usb-net/fs/replug            -> NODRIVER advance endpoints opened >= 1                                  +0
2b-fresh usb-net/fs                   NODRIVER  (no class driver expected on this target)                      measured NODRIVER on the carried-along 2b image; Windows 2000 SP4 ships no RNDIS or CDC Ethernet class driver
2b-fresh usb-serial/fs                NODRIVER  advance devices addressed                                      +1
2b-fresh usb-serial/fs                NODRIVER  advance slots enabled                                          +1
2b-fresh usb-serial/fs                NODRIVER  zero fatal controller status                                   0
2b-fresh usb-serial/fs                NODRIVER  zero transfer events for no open endpoint                      0
2b-fresh usb-serial/fs                NODRIVER  zero endpoint opens refused - unusable buffer                  0
2b-fresh usb-serial/fs                NODRIVER  zero endpoint opens refused - malformed call                   0
2b-fresh usb-serial/fs                NODRIVER  zero interrupt mask failures                                   0
2b-fresh usb-serial/fs                NODRIVER  zero commands the engine gave up on                            0
2b-fresh usb-serial/fs                NODRIVER  identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 2 == 2
2b-fresh usb-serial/fs                -> NODRIVER advance endpoints opened >= 1                                  +0
2b-fresh usb-serial/fs/replug         NODRIVER  advance devices addressed                                      +1
2b-fresh usb-serial/fs/replug         NODRIVER  advance slots enabled                                          +1
2b-fresh usb-serial/fs/replug         NODRIVER  zero fatal controller status                                   0
2b-fresh usb-serial/fs/replug         NODRIVER  zero transfer events for no open endpoint                      0
2b-fresh usb-serial/fs/replug         NODRIVER  zero endpoint opens refused - unusable buffer                  0
2b-fresh usb-serial/fs/replug         NODRIVER  zero endpoint opens refused - malformed call                   0
2b-fresh usb-serial/fs/replug         NODRIVER  zero interrupt mask failures                                   0
2b-fresh usb-serial/fs/replug         NODRIVER  zero commands the engine gave up on                            0
2b-fresh usb-serial/fs/replug         NODRIVER  identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 2 == 2
2b-fresh usb-serial/fs/replug         -> NODRIVER advance endpoints opened >= 1                                  +0
2b-fresh usb-serial/fs                NODRIVER  (no class driver expected on this target)                      no class driver for a vendor-class serial adapter on Windows 2000 SP4
2b-fresh usb-braille/fs               NODRIVER  advance devices addressed                                      +1
2b-fresh usb-braille/fs               NODRIVER  advance slots enabled                                          +1
2b-fresh usb-braille/fs               NODRIVER  zero fatal controller status                                   0
2b-fresh usb-braille/fs               NODRIVER  zero transfer events for no open endpoint                      0
2b-fresh usb-braille/fs               NODRIVER  zero endpoint opens refused - unusable buffer                  0
2b-fresh usb-braille/fs               NODRIVER  zero endpoint opens refused - malformed call                   0
2b-fresh usb-braille/fs               NODRIVER  zero interrupt mask failures                                   0
2b-fresh usb-braille/fs               NODRIVER  zero commands the engine gave up on                            0
2b-fresh usb-braille/fs               NODRIVER  identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 2 == 2
2b-fresh usb-braille/fs               -> NODRIVER advance endpoints opened >= 1                                  +0
2b-fresh usb-braille/fs/replug        NODRIVER  advance devices addressed                                      +1
2b-fresh usb-braille/fs/replug        NODRIVER  advance slots enabled                                          +1
2b-fresh usb-braille/fs/replug        NODRIVER  zero fatal controller status                                   0
2b-fresh usb-braille/fs/replug        NODRIVER  zero transfer events for no open endpoint                      0
2b-fresh usb-braille/fs/replug        NODRIVER  zero endpoint opens refused - unusable buffer                  0
2b-fresh usb-braille/fs/replug        NODRIVER  zero endpoint opens refused - malformed call                   0
2b-fresh usb-braille/fs/replug        NODRIVER  zero interrupt mask failures                                   0
2b-fresh usb-braille/fs/replug        NODRIVER  zero commands the engine gave up on                            0
2b-fresh usb-braille/fs/replug        NODRIVER  identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 2 == 2
2b-fresh usb-braille/fs/replug        -> NODRIVER advance endpoints opened >= 1                                  +0
2b-fresh usb-braille/fs               NODRIVER  (no class driver expected on this target)                      no driver for a Baum braille display on Windows 2000 SP4
2b-fresh usb-ccid/fs                  NODRIVER  advance devices addressed                                      +1
2b-fresh usb-ccid/fs                  NODRIVER  advance slots enabled                                          +1
2b-fresh usb-ccid/fs                  NODRIVER  zero fatal controller status                                   0
2b-fresh usb-ccid/fs                  NODRIVER  zero transfer events for no open endpoint                      0
2b-fresh usb-ccid/fs                  NODRIVER  zero endpoint opens refused - unusable buffer                  0
2b-fresh usb-ccid/fs                  NODRIVER  zero endpoint opens refused - malformed call                   0
2b-fresh usb-ccid/fs                  NODRIVER  zero interrupt mask failures                                   0
2b-fresh usb-ccid/fs                  NODRIVER  zero commands the engine gave up on                            0
2b-fresh usb-ccid/fs                  NODRIVER  identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 2 == 2
2b-fresh usb-ccid/fs                  -> NODRIVER advance endpoints opened >= 1                                  +0
2b-fresh usb-ccid/fs/replug           NODRIVER  advance devices addressed                                      +1
2b-fresh usb-ccid/fs/replug           NODRIVER  advance slots enabled                                          +1
2b-fresh usb-ccid/fs/replug           NODRIVER  zero fatal controller status                                   0
2b-fresh usb-ccid/fs/replug           NODRIVER  zero transfer events for no open endpoint                      0
2b-fresh usb-ccid/fs/replug           NODRIVER  zero endpoint opens refused - unusable buffer                  0
2b-fresh usb-ccid/fs/replug           NODRIVER  zero endpoint opens refused - malformed call                   0
2b-fresh usb-ccid/fs/replug           NODRIVER  zero interrupt mask failures                                   0
2b-fresh usb-ccid/fs/replug           NODRIVER  zero commands the engine gave up on                            0
2b-fresh usb-ccid/fs/replug           NODRIVER  identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 2 == 2
2b-fresh usb-ccid/fs/replug           -> NODRIVER advance endpoints opened >= 1                                  +0
2b-fresh usb-ccid/fs                  NODRIVER  (no class driver expected on this target)                      measured NODRIVER on the carried-along 2b image; the CCID class driver arrived with Windows XP
2b-fresh u2f-emulated/fs              NODRIVER  advance devices addressed                                      +1
2b-fresh u2f-emulated/fs              NODRIVER  advance slots enabled                                          +1
2b-fresh u2f-emulated/fs              NODRIVER  zero fatal controller status                                   0
2b-fresh u2f-emulated/fs              NODRIVER  zero transfer events for no open endpoint                      0
2b-fresh u2f-emulated/fs              NODRIVER  zero endpoint opens refused - unusable buffer                  0
2b-fresh u2f-emulated/fs              NODRIVER  zero endpoint opens refused - malformed call                   0
2b-fresh u2f-emulated/fs              NODRIVER  zero interrupt mask failures                                   0
2b-fresh u2f-emulated/fs              NODRIVER  zero commands the engine gave up on                            0
2b-fresh u2f-emulated/fs              NODRIVER  identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 2 == 2
2b-fresh u2f-emulated/fs              -> NODRIVER advance endpoints opened >= 1                                  +0
2b-fresh u2f-emulated/fs/replug       NODRIVER  advance devices addressed                                      +1
2b-fresh u2f-emulated/fs/replug       NODRIVER  advance slots enabled                                          +1
2b-fresh u2f-emulated/fs/replug       NODRIVER  zero fatal controller status                                   0
2b-fresh u2f-emulated/fs/replug       NODRIVER  zero transfer events for no open endpoint                      0
2b-fresh u2f-emulated/fs/replug       NODRIVER  zero endpoint opens refused - unusable buffer                  0
2b-fresh u2f-emulated/fs/replug       NODRIVER  zero endpoint opens refused - malformed call                   0
2b-fresh u2f-emulated/fs/replug       NODRIVER  zero interrupt mask failures                                   0
2b-fresh u2f-emulated/fs/replug       NODRIVER  zero commands the engine gave up on                            0
2b-fresh u2f-emulated/fs/replug       NODRIVER  identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 2 == 2
2b-fresh u2f-emulated/fs/replug       -> NODRIVER advance endpoints opened >= 1                                  +0
2b-fresh u2f-emulated/fs              NODRIVER  (no class driver expected on this target)                      measured NODRIVER on the carried-along 2b image; a HID with no boot interface that Windows 2000 did not claim
2b-fresh usb-audio/fs                 PASS      advance devices addressed                                      +1
2b-fresh usb-audio/fs                 PASS      advance slots enabled                                          +1
2b-fresh usb-audio/fs                 PASS      zero fatal controller status                                   0
2b-fresh usb-audio/fs                 PASS      zero transfer events for no open endpoint                      0
2b-fresh usb-audio/fs                 PASS      zero endpoint opens refused - unusable buffer                  0
2b-fresh usb-audio/fs                 PASS      zero endpoint opens refused - malformed call                   0
2b-fresh usb-audio/fs                 PASS      zero interrupt mask failures                                   0
2b-fresh usb-audio/fs                 PASS      zero commands the engine gave up on                            0
2b-fresh usb-audio/fs                 PASS      identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 3 == 3
2b-fresh usb-audio/fs                 PASS      advance endpoints opened >= 1                                  +1
2b-fresh usb-audio/fs                 PASS      inert iso packets answered because nothing in an unattended run plays audio - batch 9-V needed a tone and a wav capture, and an idle usb-audio endpoint moves no isochronous traffic at all 0  (nothing in an unattended run plays audio - batch 9-V needed a tone and a wav capture, and an idle usb-audio endpoint moves no isochronous traffic at all)
2b-fresh usb-audio/fs                 PASS      zero iso missed service errors                                 0
2b-fresh usb-audio/fs                 PASS      zero iso packet errors                                         0
2b-fresh usb-audio/fs/replug          PASS      advance devices addressed                                      +1
2b-fresh usb-audio/fs/replug          PASS      advance slots enabled                                          +1
2b-fresh usb-audio/fs/replug          PASS      zero fatal controller status                                   0
2b-fresh usb-audio/fs/replug          PASS      zero transfer events for no open endpoint                      0
2b-fresh usb-audio/fs/replug          PASS      zero endpoint opens refused - unusable buffer                  0
2b-fresh usb-audio/fs/replug          PASS      zero endpoint opens refused - malformed call                   0
2b-fresh usb-audio/fs/replug          PASS      zero interrupt mask failures                                   0
2b-fresh usb-audio/fs/replug          PASS      zero commands the engine gave up on                            0
2b-fresh usb-audio/fs/replug          PASS      identity endpoint opens seen == endpoint opens accepted + EP0 opens refused + endpoint opens refused - unusable buffer + endpoint opens refused - malformed call + endpoint refusals - type + endpoint refusals - no device + endpoint refusals - not ready + endpoint refusals - params + endpoint refusals - ring pool 3 == 3
2b-fresh usb-audio/fs/replug          PASS      advance endpoints opened >= 1                                  +1
2b-fresh usb-audio/fs/replug          PASS      inert iso packets answered because nothing in an unattended run plays audio - batch 9-V needed a tone and a wav capture, and an idle usb-audio endpoint moves no isochronous traffic at all 0  (nothing in an unattended run plays audio - batch 9-V needed a tone and a wav capture, and an idle usb-audio endpoint moves no isochronous traffic at all)
2b-fresh usb-audio/fs/replug          PASS      zero iso missed service errors                                 0
2b-fresh usb-audio/fs/replug          PASS      zero iso packet errors                                         0
